produto;data;valor;variacao_diaria
Algodão;19/02/2024;424.06;94%
Amendoim;Ceasa - Campinas/ SP;***;
Arroz;19/02/2024;111.58;-0.63%
Boi Gordo;19/02/2024;239.20;-0.52%
Cacau;mar/24;5706;-255
Café;19/02/2024;1016.28;0.23%
Feijão;Feijão Carioca tipo 1;320.71;+1.07
Frango;19/02/2024;7.42;0.27%
Frutas;Ceasa Campinas/SP;***;***
Laranja;19/02/2024;53.77;1.20%
Látex;Coágulo DRC 53%;2.93;-
Legumes;Agata escovada;s/cotação;-
Leite;MG;19.953;+1.37
Mandioca;5 - 09/02/2024;ESM-MS;447.74
Mercado Financeiro;Ibovespa;129.036;+0.24
Milho;19/02/2024;62.57;0.16%
Ovos;;Bastos (SP) - FOB;***
Silvicultura;Elliotti;3520.00;+4.45
Soja;19/02/2024;119.05;0.59%
Sorgo;Média RS (Clicmercado);44.00;-2.22
Sucroenergético;19/02/2024;147.75;-0.49%
Suínos;19/02/2024;MG - posto;6.78
Trigo;19/02/2024;Paraná;1243.24
Verduras;Ceasa - Campinas/SP;***;***
